plan_ref,date_opened,date_closed,employee_id,employee_name,job_title,function,level,manager,trigger,concern_summary,duration_weeks,success_criteria_met,outcome,people_team_owner,notes
PSP-2025-002,2025-02-10,2025-06-13,VB-0409,[redacted],Account Executive,Commercial,L2,Fiona Hargreaves,Year-end Below Expectations,Sustained shortfall against quota over three consecutive quarters with no pipeline development activity evidenced,16,Partially,Extended once then successful,Rachel Duffy,Returned to Strong at 2025 year end. Root cause was territory allocation not capability - territory rebalanced at week 8 and performance recovered within a month.
PSP-2025-005,2025-03-24,2025-05-30,VB-0416,[redacted],Support Engineer,Support,L2,Aisha Rahman,Manager concern mid-cycle,Escalation handling quality; three customer complaints about communication in two months,10,Yes,Successful - plan closed,Rachel Duffy,Underlying issue was an undiagnosed hearing difficulty affecting telephone work. Identified at week 3. OH referral made; adjustments implemented; plan continued but the substantive remedy was the adjustment. LEARNING: consider OH referral BEFORE opening a support plan where the concern involves a specific functional task.
PSP-2025-009,2025-05-06,2025-08-01,VB-0423,[redacted],Software Engineer,Engineering,L2,Yusuf Demir,Year-end Developing plus manager concern,Code review quality and repeated regressions in the same component,12,Yes,Successful - plan closed,Rachel Duffy,
PSP-2025-014,2025-07-15,2025-10-24,VB-0431,[redacted],Field Service Engineer,Field Service,L2,Priya Anand,Manager concern,First-time fix rate significantly below peer group; repeat visits to the same customers,14,No,Redeployed,Rachel Duffy,Not a capability failure. Engineer had been given the two most technically demanding regions in his first year post-programme. Redeployed to a region with a denser site profile and more peer support. Performing at Strong six months later.
PSP-2025-019,2025-09-08,2026-01-16,VB-0438,[redacted],Marketing Executive,Commercial,L2,[leaver],Year-end Below Expectations,Campaign delivery consistently late; briefs not followed,18,Partially,Employee resigned during plan,Rachel Duffy,Manager left the company at week 6 of the plan. Plan paused for 4 weeks and restarted with a new manager. Employee resigned at week 16. LEARNING: a support plan should be suspended not merely paused when the manager who set it leaves - the new manager cannot fairly assess against criteria they did not set.
PSP-2026-001,2026-01-20,2026-04-24,VB-0445,[redacted],QC Analyst,Quality,L2,Simone Buehler,Year-end Developing,Documentation quality in validation records; three deviations raised at internal audit,13,Yes,Successful - plan closed,Lena Hofstetter,
PSP-2026-004,2026-03-02,,VB-0452,[redacted],Support Engineer,Support,L2,Aisha Rahman,Year-end Below Expectations,Ticket resolution quality and adherence to escalation process,16,,OPEN,Rachel Duffy,Week 12 review completed 2026-05-25 - trajectory positive
PSP-2026-007,2026-05-11,,VB-0459,[redacted],Account Manager,Commercial,L3,Peter Doyle,Manager concern mid-cycle,Account planning and forecast accuracy,12,,OPEN,Rachel Duffy,
,,,,,,,,,,,,,,,
DEFINITIONS: a performance support plan is a structured period with defined success criteria, agreed support, and a written review at defined intervals. It is NOT a disciplinary process and is not recorded as one. It does not appear on a reference.,,,,,,,,,,,,,
ELIGIBILITY: normally follows a Below Expectations outcome or a documented mid-cycle concern. It must never be the first time the employee hears the concern - see User__policy-performance-review-cycle-v6.txt section 9.1.,,,,,,,,,,,,,,,
OUTCOMES 2025-2026: 8 plans opened. 4 successful, 1 redeployed successfully, 1 resignation during plan, 2 open. NO DISMISSALS FOR CAPABILITY IN THE PERIOD.,,,,,,,,,,,,
OBSERVATION FOR THE CPO: in 3 of the 6 closed plans the presenting concern was not a capability problem at all - it was a territory allocation (PSP-2025-002), an undiagnosed health condition (PSP-2025-005) and a resourcing decision (PSP-2025-014). Rachel Duffy's recommendation, adopted March 2026: before any support plan is opened, the People team asks the manager three questions - has anything changed in this person's circumstances, is there any health factor, and would a peer in the same situation be succeeding. The plan proceeds only after those are answered.,,,,,,,,,,
ACCESS: People team and the relevant line manager only. Not visible to the Executive Committee, not visible to other managers, not included in any reference.,,,,,,,,,,,,,
