date,day_of_week,holiday_name,location,statutory,veridia_office_closed,notes
2026-01-01,Thursday,New Year's Day,UK,Yes,Yes,
2026-01-01,Thursday,Neujahr,CH Basel-Stadt,Yes,Yes,
2026-01-02,Friday,Berchtoldstag,CH Basel-Stadt,Yes,Yes,Not a holiday in all cantons
2026-04-03,Friday,Good Friday,UK,Yes,Yes,
2026-04-03,Friday,Karfreitag,CH Basel-Stadt,Yes,Yes,
2026-04-06,Monday,Easter Monday,UK,Yes,Yes,
2026-04-06,Monday,Ostermontag,CH Basel-Stadt,Yes,Yes,
2026-05-01,Friday,Tag der Arbeit,CH Basel-Stadt,Yes,Yes,Not a holiday in all cantons
2026-05-04,Monday,Early May Bank Holiday,UK,Yes,Yes,
2026-05-14,Thursday,Auffahrt (Ascension),CH Basel-Stadt,Yes,Yes,
2026-05-25,Monday,Spring Bank Holiday,UK,Yes,Yes,
2026-05-25,Monday,Pfingstmontag (Whit Monday),CH Basel-Stadt,Yes,Yes,
2026-08-01,Saturday,Bundesfeiertag (Swiss National Day),CH Basel-Stadt,Yes,No,Falls on a Saturday in 2026; no day in lieu is provided under Basel-Stadt practice
2026-08-31,Monday,Summer Bank Holiday,UK,Yes,Yes,England and Wales only
2026-12-25,Friday,Christmas Day,UK,Yes,Yes,
2026-12-25,Friday,Weihnachten,CH Basel-Stadt,Yes,Yes,
2026-12-26,Saturday,Boxing Day,UK,Yes,No,Substitute day Monday 28 December
2026-12-26,Saturday,Stephanstag,CH Basel-Stadt,Yes,No,
2026-12-28,Monday,Boxing Day (substitute),UK,Yes,Yes,
2026-12-29,Tuesday,Office closure,Both,No,Yes,DEDUCTED FROM YOUR ANNUAL LEAVE - not additional
2026-12-30,Wednesday,Office closure,Both,No,Yes,DEDUCTED FROM YOUR ANNUAL LEAVE - not additional
2026-12-31,Thursday,Office closure,Both,No,Yes,DEDUCTED FROM YOUR ANNUAL LEAVE - not additional
,,,,,,
NOTE: Scotland and Northern Ireland observe different bank holidays. Employees based there should contact the People team; entitlement is equalised so that nobody is better or worse off.,,,,,,
NOTE: Swiss public holidays are set by canton. This list is Basel-Stadt. Cross-border employees resident in Germany or France should note that their country of residence holidays do not apply to Veridia working days.,,,,,,
NOTE: Field service and support maintain an on-call rota through the Christmas closure. On-call is compensated per the on-call arrangement; speak to Priya Anand or James Okafor.,,,,,,
