hl7_message_type,segment,field,component,hl7_element_name,vericonnect_field,data_type,required,transform_notes
ORU^R01,MSH,3,,Sending Application,instrument.application_id,HD,Yes,Fixed value VERISCAN
ORU^R01,MSH,4,,Sending Facility,site.facility_code,HD,Yes,Mapped from VeriConnect site registry
ORU^R01,MSH,7,,Date/Time of Message,message.sent_at,TS,Yes,"UTC with offset. Affected by FW 4.2.1 drift defect - see VBI-0091"
ORU^R01,MSH,9,,Message Type,message.type,MSG,Yes,
ORU^R01,MSH,10,,Message Control ID,message.control_id,ST,Yes,Must be unique per sending facility; duplicates cause E-503
ORU^R01,MSH,11,,Processing ID,message.processing_id,PT,Yes,P in production; T for validation instruments
ORU^R01,MSH,12,,Version ID,message.hl7_version,VID,Yes,2.5.1 default; 2.3.1 supported in legacy profile
ORU^R01,PID,3,1,Patient Identifier List,patient.identifier,CX,Yes,NHS Number where assigning authority is NHS
ORU^R01,PID,3,4,Assigning Authority,patient.identifier_authority,HD,No,
ORU^R01,PID,5,1,Patient Surname,patient.family_name,XPN,Yes,Redacted in VeriConnect audit exports when pseudonymisation enabled
ORU^R01,PID,5,2,Patient Given Name,patient.given_name,XPN,No,
ORU^R01,PID,7,,Date of Birth,patient.dob,TS,No,
ORU^R01,PID,8,,Administrative Sex,patient.sex,IS,No,Required for age/sex reference range selection
ORU^R01,PV1,3,,Assigned Patient Location,encounter.location,PL,No,
ORU^R01,ORC,2,,Placer Order Number,order.placer_id,EI,No,
ORU^R01,ORC,3,,Filler Order Number,order.filler_id,EI,Yes,Generated by analyser as SERIAL-YYYYMMDD-NNNN
ORU^R01,OBR,3,,Filler Order Number,specimen.accession,EI,Yes,
ORU^R01,OBR,4,1,Universal Service Identifier,panel.code,CE,Yes,CBC5D for 5-part differential; CBC5DR adds retic (Pro only)
ORU^R01,OBR,7,,Observation Date/Time,specimen.collected_at,TS,Yes,"PRIMARY SYMPTOM FIELD of FW 4.2.1 drift - value advanced relative to true collection time"
ORU^R01,OBR,22,,Results Rpt/Status Change Date/Time,result.reported_at,TS,Yes,Used by VeriConnect QC charting x-axis
ORU^R01,OBR,25,,Result Status,result.status,ID,Yes,F final; P preliminary; C corrected
ORU^R01,OBX,2,,Value Type,observation.value_type,ID,Yes,NM for numeric analytes; ST for flags
ORU^R01,OBX,3,1,Observation Identifier,analyte.code,CE,Yes,LOINC preferred; Veridia local codes accepted in legacy profile
ORU^R01,OBX,5,,Observation Value,analyte.value,varies,Yes,
ORU^R01,OBX,6,,Units,analyte.units,CE,Yes,10*9/L for WBC; g/L for HGB (UK default)
ORU^R01,OBX,7,,Reference Range,analyte.reference_range,ST,No,
ORU^R01,OBX,8,,Abnormal Flags,analyte.abnormal_flag,IS,No,H L HH LL A
ORU^R01,OBX,11,,Observation Result Status,analyte.status,ID,Yes,
ORU^R01,OBX,14,,Date/Time of the Observation,analyte.observed_at,TS,No,"Omitted entirely by FW 4.0.0 Generic profile; drifted under FW 4.2.1"
ORU^R01,OBX,18,,Equipment Instance Identifier,instrument.serial,EI,No,Used for fleet dashboard attribution
ORU^R01,NTE,3,,Comment,result.comment,FT,No,Instrument flags (e.g. WBC ABN SCATTER) emitted here
QRY^Q02,QRD,7,,Quantity Limited Request,query.limit,CQ,No,Host query mode only
