claim_ref,jurisdiction,forum,claimant_status,claimant_role,site,date_filed,claim_type,summary,narwhal_position,advisers_prospects_of_defence,estimated_exposure_low_gbp,estimated_exposure_high_gbp,provision_in_accounts_gbp,indemnity_sought,notes
NAR-ET-001,England and Wales,Employment Tribunal,Former employee,Production Supervisor,Warrington,2025-11-18,Unfair dismissal; disability discrimination (s15 and s20 EqA 2010),Dismissed on capability grounds after 11 months' absence with a musculoskeletal condition. No occupational health referral obtained at any stage. No reasonable adjustments considered. Two return-to-work proposals from the employee not responded to.,Narwhal maintains the dismissal was a fair capability dismissal following a reasonable procedure,POOR,45000,95000,25000,Yes - specific,Marchmont Sayers: the absence of any OH referral in an 11-month absence is close to determinative on the s20 claim. Settlement recommended. Narwhal has not made an offer.
NAR-ET-002,England and Wales,Employment Tribunal,Current employee,Quality Engineer,Warrington,2026-01-29,Equal pay (Equality Act 2010 Part 5 Chapter 3),"Female quality engineer claims like work with a named male comparator at the same grade paid GBP 6,400 more. Narwhal has no job evaluation scheme and no equal pay audit.",Narwhal asserts a material factor defence based on the comparator's prior experience,UNCERTAIN - cannot assess without a job evaluation exercise,30000,180000,0,Yes - specific,"HIGH CONTAGION RISK. Narwhal's mean gender pay gap is 21.4%. If this claim succeeds, Marchmont Sayers assess a material risk of further claims from the same grade. No provision made. Claimant remains employed."
NAR-PL-001,Poland,Sad Rejonowy Wroclaw - Labour Division,Former employee,Machine Operator,Wroclaw,2025-09-04,Unlawful termination during protected period,Employee dismissed during certified sick leave. Polish Labour Code Article 41 prohibits termination during justified absence.,Narwhal asserts the absence had exceeded the protected period,POOR,30000,50000,15000,Yes - specific,Kaczmarek Wiszniewski: the protected period calculation used by Narwhal is wrong. Reinstatement is the primary remedy in Poland and is a realistic outcome. Exposure stated in GBP at PLN 5.12. Reinstatement would also breach the collective agreement consultation obligations if handled poorly a second time.
NAR-ACAS-001,England and Wales,ACAS early conciliation,Former employee,Field Engineer (contractor),Warrington,2026-04-11,Employment status; unlawful deduction from wages; holiday pay,"Former self-employed field engineer claims worker or employee status over a 6-year engagement, seeking holiday pay and pension arrears.",Narwhal asserts genuine self-employment,POOR,18000,42000,0,Yes - specific and uncapped,THE ONE THAT MATTERS. This is a single claimant but the determination would apply to the whole population of 34 contractors and would establish the fact pattern for an HMRC status enquiry. Marchmont Sayers assess prospects of defending as poor on the substitution and control points. If this reaches a determination before completion the IR35 exposure at UNI-DD-HR-001 s.5 crystallises. ACAS conciliation period expires 2026-05-23.
NAR-GRV-OPEN-1,England and Wales,Internal,Current employee,Assembly Operative,Warrington,2026-05-06,Grievance - bullying,Third grievance against the same production manager in 22 months. Two previous grievances upheld in part; manager remains in post with no formal sanction recorded.,Under investigation,N/A,0,0,0,No,"Not litigation but recorded here because it is a live risk. Three upheld or partly upheld grievances against one manager in post is a constructive dismissal claim waiting to happen, and would be a discrimination claim if any protected characteristic is engaged. Veridia would inherit both the manager and the pattern."
NAR-GRV-OPEN-2,Poland,Internal,Current employee,QC Technician,Wroclaw,2026-06-02,Grievance - working time,Allegation that overtime records are being adjusted downward before submission to payroll.,Under investigation,N/A,0,0,0,No,"POTENTIALLY SERIOUS. If substantiated this is a working time and wages issue affecting an unknown number of employees, in a unionised site, under a collective agreement. Polish counsel has asked for the outcome as a condition of their final opinion. Not yet provided by Narwhal."
NAR-HMRC-001,United Kingdom,HMRC,N/A,N/A,Warrington,,Employment status / off-payroll working (IR35),"No enquiry opened. Recorded as a contingent exposure. 34 contractors, at least 26 assessed as very likely employees or workers. No status determination statements issued since April 2021.",Narwhal has taken no position and no action,N/A - contingent,1910000,1910000,0,Yes - specific uncapped as to time with GBP 2.5M escrow,"THE LARGEST SINGLE HR EXPOSURE. PAYE and NIC GBP 1.42M, interest GBP 0.21M, penalties GBP 0.28M assuming careless rather than deliberate. Narwhal HR Director raised this with her Board in March 2026; no action taken. A deliberate finding would increase penalties materially and the March 2026 memorandum is discoverable."
NAR-HOL-001,United Kingdom,Contingent,Current and former employees,Various,Warrington,,Historic holiday pay underpayment,"Holiday pay calculated on basic pay only, excluding regular overtime and shift premia, since at least 2018. Chief Constable of PSNI v Agnew removes the three-month gap limitation on a series of deductions.",Narwhal is aware; the Finance Director described it as 'on the list',N/A - contingent,1060000,1060000,0,Yes - specific,No claim brought. Exposure crystallises on the first claim and would then apply across the affected population.
,,,,,,,,,,,,,,,
TOTAL QUANTIFIED EXPOSURE (mid-case where a range is given): GBP 3,124,000,,,,,,,,,,,,,
  Live claims (3 filed + 1 ACAS): GBP 154,000 mid-case,,,,,,,,,,,,,,
  Contingent (IR35 + holiday pay): GBP 2,970,000,,,,,,,,,,,,,
PROVISION IN NARWHAL ACCOUNTS: GBP 40,000. Under-provided by approximately GBP 3.08M.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RECOMMENDATIONS,,,,,,,,,,,,,,,
R1 Specific indemnities for NAR-ET-001, NAR-ET-002, NAR-PL-001, NAR-ACAS-001, NAR-HMRC-001 and NAR-HOL-001. General warranties are inadequate - every one of these is a KNOWN issue and a warranty against the unknown does not cover a known issue.,,,,,,,,,,,
R2 Escrow of not less than GBP 2.5M for four years against the IR35 exposure, with the indemnity uncapped as to time.,,,,,,,,,,,,,,
R3 Conduct provisions in the SPA giving Veridia control of the defence of NAR-ACAS-001, because its outcome determines the IR35 fact pattern.,,,,,,,,,,,,,,
R4 Require the outcome of NAR-GRV-OPEN-2 (Polish working time) as a condition of Polish counsel's final opinion. If overtime records have been adjusted, the exposure is unquantified and could be significant in a unionised site.,,,,,,,,,,,,,,
R5 Require Narwhal to disclose the terms of any settlement of NAR-ET-002 before signing. An equal pay settlement sets a comparator.,,,,,,,,,,,,,,,
R6 The production manager in NAR-GRV-OPEN-1 should be a named diligence question. Veridia would be inheriting a documented pattern.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CONFIDENTIALITY: Strictly Confidential - Project Unicorn - Inside Information. Claimant names are withheld from this schedule and are held by Sunita Raval. Do not circulate outside the deal team.,,,,,,,,,,,,,,,
