visit_id,account_id,customer_name,visit_date,engineer,product,serial_number,visit_type,issue_summary,parts_used,resolution,time_on_site_hours,related_ticket
FSV-2025-0114,ACC-1117,Mid Yorkshire Teaching NHS Trust,2025-01-09,Rob Ellery,VeriPrep SP-1,SP1-R1-0219,Corrective,Repeated P-112 tube feed jams on 5 mL short-cap tubes,SP1-MEC-160,Gripper jaws replaced; short-cap tube batch identified as root cause; interim adapter recommended,3.5,VBST-3795
FSV-2025-0121,ACC-1042,Greater Manchester Pathology Network,2025-01-15,Rob Ellery,VeriScan 400,VS4-0771,Preventive,Annual PM,VS4-KIT-PM1,PM completed; all QC in range,2.5,
FSV-2025-0130,ACC-1185,St Aloysius Pathology,2025-01-22,Dev Patel,VeriPrep SP-1,SP1-R1-0288,Corrective,P-105 tube height errors and one jam,SP1-ADP-05,Adapters supplied and staff trained; advised r2 upgrade at renewal,4.0,VBST-3812
FSV-2025-0146,ACC-1090,Countess of Chester Hospital NHS FT,2025-02-06,Rob Ellery,VeriScan 400,VS4-0402,Corrective,W-042 elevated background WBC and spurious flags,,No hardware fault found; RGT-L3 lot L3-2025-0444 quarantined and sent to Basel for analysis,3.0,VBST-3847
FSV-2025-0149,ACC-1152,Alderley Diagnostics Ltd,2025-02-10,Kasia Nowak,VeriScan 400,VS4-0918,Corrective,Spurious WBC flagging; customer suspected optics,,Optics within spec; affected lyse lot removed under FSN-2025-003,2.5,VBST-3851
FSV-2025-0155,ACC-1263,Betsi Cadwaladr University Health Board,2025-02-18,Dev Patel,VeriScan 400,VS4-0655,Corrective,E-208 baseline absorbance out of range,,Affected RGT-L3 lot swapped; blank cycle passed after changeover,2.0,VBST-3863
FSV-2025-0163,ACC-1206,Synlab Nordwest GmbH,2025-02-25,Ingrid Sorensen,VeriScan 400 Pro,VS4P-0311,Corrective,E-215 laser current out of tolerance,VS4-OPT-118,Laser module replaced and optics recalibrated; 20 sample comparison passed,6.0,VBST-3878
FSV-2025-0171,ACC-1103,Royal Free London NHS Foundation Trust,2025-03-04,Marta Oliveira,VeriScan 400 Pro,VS4P-0503,Corrective,QC chart timestamps misaligned in VeriConnect,,Confirmed FW 4.2.1 timestamp defect; instrument rolled back to 4.2.0 pending 4.2.3,3.0,VBST-3902
FSV-2025-0180,ACC-1146,University Hospitals Birmingham NHS FT,2025-03-12,Kasia Nowak,VeriScan 400 Pro,VS4P-0447,Corrective,HL7 export times drifting; two instruments affected,,Both units rolled back to 4.2.0; VBB-0041 issued to site,4.5,VBST-3910
FSV-2025-0194,ACC-1042,Greater Manchester Pathology Network,2025-03-25,Rob Ellery,VeriScan 400 Pro,VS4P-0620,Corrective,FW 4.2.3 deployment across 6 Pro units,,All units updated to 4.2.3; drift telemetry confirmed nominal,5.0,
FSV-2025-0203,ACC-1078,NHS Lothian - Royal Infirmary of Edinburgh,2025-04-02,Callum Frazer,VeriScan 400,VS4-0733,Corrective,E-104 sample probe blockage recurring,VS4-MEC-011; VS4-SP-021,Needle and seals replaced; site advised on clot check procedure,3.5,VBST-4022
FSV-2025-0217,ACC-1255,Sheffield Teaching Hospitals NHS FT,2025-04-16,Rob Ellery,VeriScan 400 Pro,VS4P-0388,Preventive,Annual PM x2 units,VS4-KIT-PM1,PM completed,4.0,
FSV-2025-0225,ACC-1171,Nuffield Health Leeds Hospital,2025-04-24,Rob Ellery,VeriScan 400 Pro,VS4P-0712,Corrective,Display flicker intermittent,VS4-DIS-142,Ribbon cable replaced,1.5,VBST-4041
FSV-2025-0238,ACC-1198,Hopitaux Universitaires de Geneve,2025-05-07,Nils Berger,VeriScan 400 Pro,VS4P-0559,Corrective,E-607 retic flow cell temperature errors,,Ambient measured at 34.1 C; site advised on revised 18-32 C range per VBB-0052,2.5,VBST-4056
FSV-2025-0246,ACC-1129,Norfolk and Norwich University Hospitals NHS FT,2025-05-15,Marta Oliveira,VeriScan 400 Pro,VS4P-0668,Corrective,E-412 mixer motor overcurrent,VS4-MEC-047,Mixer assembly replaced,3.0,VBST-4063
FSV-2025-0259,ACC-1214,Laboratoire Cerba Ouest,2025-05-28,Nils Berger,VeriScan 400,VS4-0844,Corrective,E-203 lamp intensity low on two analysers,VS4-OPT-104,Lamps replaced and optics recalibrated,4.0,
FSV-2025-0271,ACC-1117,Mid Yorkshire Teaching NHS Trust,2025-06-11,Rob Ellery,VeriPrep SP-1,SP1-R1-0219,Corrective,Continued jamming despite adapters,SP1-MEC-140,Feed mechanism replaced; site placed on SP-1r2 upgrade list,5.5,VBST-4098
FSV-2025-0284,ACC-1042,Greater Manchester Pathology Network,2025-06-24,Kasia Nowak,VeriScan 400,VS4-0779,Corrective,E-311 cartridge seal breach reported twice,,No instrument fault; shipping damage suspected; lot photos sent to Basel QA,2.0,VBST-4110
FSV-2025-0299,ACC-1190,Universitaetsspital Basel - Haematologie,2025-07-08,Ingrid Sorensen,VeriPrep SP-1,SP1-R1-0155,Upgrade,SP-1r2 feed retrofit,SP1-KIT-R2UP,Retrofit completed; firmware 2.3.0 installed; 200 tube run with zero jams,7.0,
FSV-2025-0312,ACC-1270,Guy's and St Thomas' NHS Foundation Trust,2025-07-22,Marta Oliveira,VeriConnect,,Corrective,SSO re-integration after IdP change,,SAML metadata auto-refresh enabled; tested with 12 accounts,2.0,VBST-4003
FSV-2025-0328,ACC-1284,Wirral University Teaching Hospital NHS FT,2025-08-06,Rob Ellery,VeriScan 400,VS4-1002,Installation,New install and IQ/OQ,,Installed; IQ/OQ signed off; staff trained (6 attendees),8.0,
FSV-2025-0341,ACC-1057,Northumbria Healthcare NHS Foundation Trust,2025-08-19,Rob Ellery,VeriScan 400,VS4-0596,Corrective,Recurring W-031 ambient warnings,,Room conditioning issue; escalated to trust estates; no instrument fault,1.5,VBST-4160
FSV-2025-0355,ACC-1206,Synlab Nordwest GmbH,2025-09-03,Ingrid Sorensen,VeriScan 400 Pro,VS4P-0311,Preventive,Annual PM x4 units,VS4-KIT-PM1,PM completed; FW updated to 4.3.0,6.5,
FSV-2025-0369,ACC-1146,University Hospitals Birmingham NHS FT,2025-09-17,Kasia Nowak,VeriPrep SP-1,SP1-R2-0044,Installation,New SP-1r2 install,,Installed and integrated to VS4P-0447 over LAN,5.0,
FSV-2025-0384,ACC-1103,Royal Free London NHS Foundation Trust,2025-10-01,Marta Oliveira,VeriScan 400 Pro,VS4P-0503,Corrective,Retic CV drift,VS4-OPT-224,Retic flow cell replaced; recalibrated with RT-2025-0049,4.5,VBST-4231
FSV-2025-0401,ACC-1078,NHS Lothian - Royal Infirmary of Edinburgh,2025-10-21,Callum Frazer,VeriScan 400,VS4-0733,Corrective,E-507 clock not synchronised after network change,VS4-ELE-090,RTC battery replaced; NTP pointed at trust internal server,2.0,VBST-4249
FSV-2025-0418,ACC-1134,Belfast Health and Social Care Trust,2025-11-05,Callum Frazer,VeriScan 400,VS4-0481,Corrective,Cannot reproduce - intermittent E-402,,No fault found on 300 cycle soak test; site to log occurrences,3.0,VBST-4268
FSV-2025-0433,ACC-1042,Greater Manchester Pathology Network,2025-11-25,Rob Ellery,VeriScan 400 Pro,VS4P-0620,Preventive,Annual PM x3 units,VS4-KIT-PM1,PM completed,5.0,
FSV-2025-0447,ACC-1152,Alderley Diagnostics Ltd,2025-12-09,Kasia Nowak,VeriScan 400,VS4-0918,Corrective,E-207 flow cell background high,VS4-OPT-220,Flow cell replaced after extended clean failed,3.5,VBST-4301
