risk_ref,category,risk_description,cause,consequence,inherent_likelihood,inherent_impact,inherent_score,mitigation,residual_likelihood,residual_impact,residual_score,owner,review_date,status
UNI-RSK-001,Pension,Trustees require mitigation exceeding what the transaction can bear,Veridia is a smaller and more leveraged sponsor than Narwhal; acquisition debt ranks ahead of the scheme,Transaction does not complete; GBP 1.85M diligence cost written off,High,Critical,20,Early private approach to independent trustee chair; seek TPR clearance; model GBP 7.2M as planning assumption; Board to set walk-away number before negotiations,Medium,Critical,15,Gary Pemberton,2026-07-31,OPEN - PRINCIPAL RISK
UNI-RSK-002,People,Dr Isobel Hartland-Vose (Narwhal CTO) leaves within 18 months,Receives GBP 1.9M on completion; highly marketable; four credible competitor destinations,Acquisition rationale fails - the mechanical engineering capability is substantially her,Medium,Critical,15,GBP 250k retention over 24 months; Veridia equity; genuine ExCo role as group CTO; CEO to meet her personally before signing,Low,Critical,10,Alistair Vance,2026-07-31,OPEN
UNI-RSK-003,People,Priya Anand (Veridia Head of Field Service) resigns,Approached by executive search Q2 2026; field service integration being planned without her; would learn she was excluded,Loss of the person holding together a function already subject to a stress risk assessment; field service integration fails,Medium,High,12,Bring inside the tent before Gate 2 (HR DD R8); off-cycle adjustment already made OCA-2026-011; named integration workstream lead,Low,High,8,Naomi Okonjo-Bright,2026-07-15,OPEN - CFO APPROVAL PENDING
UNI-RSK-004,Financial,Terms harmonisation cost cancels the synergy case,Narwhal terms materially below Veridia's across pension leave medical sick pay and family leave,Transaction economics fundamentally different from the model presented at Gate 1,High,High,16,Re-model at Gate 2 with option (c) phased harmonisation GBP 1.9M year one rising to GBP 3.13M; present revised synergy to Board; justify transaction on strategic case alone,High,Medium,12,Gary Pemberton,2026-07-31,OPEN - ACCEPTED AND BEING RE-MODELLED
UNI-RSK-005,Legal,IR35 and employment status exposure crystallises,34 contractors engaged as self-employed; at least 26 very likely employees; no status determinations since April 2021; ACAS claim live,GBP 1.91M HMRC exposure plus employment rights claims; penalties increase if finding is deliberate,High,High,16,Specific uncapped indemnity; GBP 2.5M escrow for 4 years; conduct provisions over the ACAS claim; employ the 26 properly at completion,Medium,Medium,9,Sunita Raval,2026-07-31,OPEN
UNI-RSK-006,Culture,Veridia's people culture is degraded rather than transmitted,Acquiring an organisation 29% larger with weaker practices and 2.4x the turnover; acquirer culture does not reliably prevail when the target is bigger,Loss of the employee proposition that underpins Veridia's retention; slow and largely invisible for 18 months then irreversible,Medium,High,12,Named executive owner for culture integration with budget reporting to Board quarterly for 3 years; engagement survey at 90 days published to both populations; harmonise upwards quickly and visibly,Medium,High,12,Naomi Okonjo-Bright,2026-09-15,OPEN - MITIGATION NOT YET AGREED
UNI-RSK-007,Legal,Post-completion internal reorganisation triggers TUPE unexpectedly,Share purchase means no TUPE at completion; integration teams assume TUPE was 'done' and it was never engaged,Failure to inform and consult; protective awards of up to 13 weeks' pay per affected employee,Medium,Medium,9,Each post-completion reorganisation treated as a separate TUPE event with its own analysis; briefed to integration leads; Marchmont Sayers retained,Low,Medium,6,Sunita Raval,2026-10-31,OPEN
UNI-RSK-008,Legal,Wroclaw collective agreement makes modelled synergy value-destructive,Severance 3-4x statutory; consultation obligations; restriction on outsourcing; survives change of control,GBP 551k severance against GBP 398k annual saving; union relationship damaged at a site with 31% turnover,High,Medium,12,Remove OV-16 from the synergy model entirely; public commitment plus capital investment at Wroclaw; engage Solidarnosc pre-signing,Low,Medium,6,Naomi Okonjo-Bright,2026-07-31,MITIGATED - MODEL AMENDED
UNI-RSK-009,Data,Right to work compliance gap inherited at completion,Sample testing found evidence attached in only 22 of 40 records; up to 130 UK employees may have no evidence on file,Civil penalty up to GBP 60000 per worker; 60-day clock from transfer to complete own checks,Medium,High,12,Scoped day-one verification exercise budgeted at GBP 28k; two temporary resources; must complete within 60 days; warranty and disclosure,Low,High,8,Rachel Duffy,2026-10-31,OPEN - PLAN READY
UNI-RSK-010,Data,Special category health data held unlawfully in free-text HRIS fields,Line managers entering diagnoses medication and consultant names into an unstructured absence notes field; 14 of 60 sampled records affected; retained indefinitely,ICO exposure; reputational damage if surfaced through a subject access request post-completion,Medium,High,12,Disable the free-text field on day one; retention policy applied; manager training; DPIA and ROPA created,Low,Medium,6,Ruth Amankwah,2026-10-31,OPEN
UNI-RSK-011,Disclosure,Transaction leaks before signing,Speculation already present - 4 of 13 H2 2025 exit interviews referenced rumours unprompted; FAQ carries an acquisition question; 14 people plus advisers inside,Price impact; employee anxiety; Ardenmoor may withdraw; competitive response,Medium,High,12,Annex A maintained by GC with CFO approval for additions; codenames in all external-facing references; no target name in calendar entries travel or expenses; personal confidentiality undertakings,Medium,High,12,Sunita Raval,ongoing,OPEN - MONITORED
UNI-RSK-012,Operational,Management attention diverted from the 2026 operating plan,Six of nine ExCo members materially engaged; IVDR certification submission in parallel,IVDR certification slips; FY2026 plan missed; CSO attributes both to Unicorn,Medium,High,12,CEO monitors monthly; IVDR workstream ringfenced from deal team demands; Sarah Lindgren's limited brief resolved by 2026-07-31,Medium,Medium,9,Alistair Vance,monthly,OPEN
